from,to,weight
PLA ,SP,1
PLA ,P,3
POF ,I,3
POF ,CD,1
PRA ,W,3
PRA ,P,3
TIL ,CD,1
TIL ,P,3
HAS,CS,2
HAS,P,2
KAM,V,3
KAM,P,2
KAP,E,3
KAP,P,2
KEM,V,3
KEM,P,2
NEM,I,3
NEM,P,2
REI,V,3
REI,P,2
ROE,E,3
ROE,P,2
SCHW,V,3
SCHW,P,2
GRO,U,2
GRO,P,2
WOD,CD,2
WOD,P,2
HER,I,1
HER,P,2
KRE,CD,2
KRE,P,2
PRI,V,3
PRI,P,2
PRI,GR,2
VAS,V,3
VAS,P,2
VAS,SP,1
SCHE,V,3
SCHE,P,2
SCHE,SP,1
KOE,V,3
KOE,P,2
KOE,SP,1
KAI,U,3
KAI,P,2
WEI,U,3
WEI,P,2
NIE,U,3
NIE,P,2
ALL,W,3
ALL,P,2
MAT,W,2
MAT,P,2
SCHE,W,3
SCHE,P,2
NIEB,W,1
WEH,W,3
LAE,CD,2
LAE,P,1
MIE,SP,2
MIE,P,1